City,Country,Date,Description,Avg. Cloud,Avg. Daytemp,Avg. Speed
Adelaide,AU,27/5/2015,scattered clouds,32,10.15,2.96
Adelaide,AU,28/5/2015,light rain,32,17.34,5.95
Adelaide,AU,29/5/2015,sky is clear,8,14.83,3.22
Adelaide,AU,30/5/2015,light rain,86,11.44,2.85
Adelaide,AU,31/5/2015,light rain,56,12.22,6.73
Albany,AU,27/5/2015,light rain,92,12.39,3.66
Albany,AU,28/5/2015,overcast clouds,92,14.34,3.4
Albany,AU,29/5/2015,sky is clear,0,15.03,2.57
Albany,AU,30/5/2015,light rain,46,16.44,6.04
Albany,AU,31/5/2015,light rain,12,16.61,1.65
Albury,AU,27/5/2015,light rain,92,11.19,2.11
Albury,AU,28/5/2015,heavy intensity rain,92,12.31,3.45
Albury,AU,29/5/2015,light rain,88,11.63,3.42
Albury,AU,30/5/2015,light rain,89,8.39,1.55
Albury,AU,31/5/2015,moderate rain,90,7.67,4.61
Alice Springs,AU,27/5/2015,scattered clouds,48,13.89,2.91
Alice Springs,AU,28/5/2015,sky is clear,8,25.97,4
Alice Springs,AU,29/5/2015,scattered clouds,36,26.73,4.47
Alice Springs,AU,31/5/2015,moderate rain,100,13.46,4.81
Ararat,AU,27/5/2015,light rain,68,10.19,5.06
Ararat,AU,28/5/2015,moderate rain,24,13.86,7.6
Ararat,AU,29/5/2015,light rain,24,12.28,4.52
Ararat,AU,30/5/2015,light rain,92,9.79,3.83
Ararat,AU,31/5/2015,light rain,85,8.07,7.99
Armidale,AU,27/5/2015,light rain,24,4.3,0.91
Armidale,AU,28/5/2015,light rain,48,11.26,1.27
Armidale,AU,29/5/2015,light rain,36,13.13,2.57
Armidale,AU,30/5/2015,light rain,83,11.99,1.2
Armidale,AU,31/5/2015,light rain,69,16.12,3.91
Atherton,AU,27/5/2015,light rain,12,19.14,4.31
Atherton,AU,28/5/2015,light rain,92,24.91,6.8
Atherton,AU,29/5/2015,light rain,92,22.73,5.67
Atherton,AU,30/5/2015,light rain,8,21.84,1.87
Atherton,AU,31/5/2015,light rain,32,24.02,1.4
Australind,AU,27/5/2015,light rain,48,11.85,3.91
Australind,AU,28/5/2015,sky is clear,0,14.74,4.95
Australind,AU,29/5/2015,sky is clear,0,14.93,3.57
Australind,AU,30/5/2015,light rain,2,17.19,2.93
Australind,AU,31/5/2015,sky is clear,0,17.11,1.81
Ayr,AU,27/5/2015,light rain,20,18.04,3.66
Ayr,AU,28/5/2015,few clouds,12,27.39,5.75
Ayr,AU,29/5/2015,moderate rain,44,26.08,5.22
Ayr,AU,30/5/2015,light rain,20,22.89,1.6
Ayr,AU,31/5/2015,light rain,64,23.87,3.42
Bairnsdale,AU,27/5/2015,sky is clear,0,12.79,3.91
Bairnsdale,AU,28/5/2015,scattered clouds,44,17.75,4
Bairnsdale,AU,29/5/2015,sky is clear,0,15.63,6.02
Bairnsdale,AU,30/5/2015,sky is clear,7,11.04,3.1
Bairnsdale,AU,31/5/2015,moderate rain,8,12.87,9.42
Ballarat,AU,27/5/2015,few clouds,20,11.04,7.16
Ballarat,AU,28/5/2015,moderate rain,0,15.48,11.25
Ballarat,AU,29/5/2015,scattered clouds,32,12.13,7.07
Ballarat,AU,30/5/2015,light rain,72,11.04,5.92
Ballarat,AU,31/5/2015,moderate rain,93,8.07,7.96
Ballina,AU,28/5/2015,sky is clear,0,20.61,1.17
Ballina,AU,29/5/2015,few clouds,20,21.58,5.02
Ballina,AU,30/5/2015,light rain,53,21.44,3.3
Ballina,AU,31/5/2015,light rain,24,22.27,7.28
Ballina,AU,1/6/2015,sky is clear,0,19.73,4.26
Batemans Bay,AU,28/5/2015,sky is clear,8,13.79,1.52
Batemans Bay,AU,29/5/2015,sky is clear,0,16.83,1.67
Batemans Bay,AU,30/5/2015,light rain,26,11.79,1.81
Batemans Bay,AU,31/5/2015,light rain,0,12.82,4.41
Batemans Bay,AU,1/6/2015,light rain,5,12.03,6.97
Benalla,AU,27/5/2015,light rain,92,10.64,2.46
Benalla,AU,28/5/2015,moderate rain,64,11.67,3.1
Benalla,AU,29/5/2015,light rain,44,11.23,2.47
Benalla,AU,30/5/2015,light rain,87,8.89,2.09
Benalla,AU,31/5/2015,moderate rain,55,6.77,5.25
Bendigo,AU,27/5/2015,light rain,32,8.79,2.81
Bendigo,AU,28/5/2015,moderate rain,68,11.98,4.75
Bendigo,AU,29/5/2015,light rain,44,11.28,3.67
Bendigo,AU,30/5/2015,light rain,89,9.79,3.75
Bendigo,AU,31/5/2015,light rain,90,8.12,7.81
Biloela,AU,28/5/2015,sky is clear,0,20.58,3.12
Biloela,AU,29/5/2015,sky is clear,0,22.38,3.67
Biloela,AU,30/5/2015,light rain,60,20.64,2.34
Biloela,AU,31/5/2015,heavy intensity rain,92,21.17,1.65
Biloela,AU,1/6/2015,light rain,76,19.03,4.04
Blackwater,AU,27/5/2015,sky is clear,0,10.9,1.21
